HEMISPHERELONG,CONTINENT,WHOREGION,FLULONG,Country,Year,Week,SDATE,EDATE,AGEGROUP_CODE,ILI_CASES,ILI_OUTPATIENTS,ILI_POP_COV,ILI_OUT_RATE,ILI_POP_RATE,ILI_SAMPLED,ILI_INF_POS,ILI_INF_NEG,ILI_COVID19_TESTED,ILI_COVID19_POS,ILI_COVID19_NEG,ILI_COVID19_RATIO,SARI_CASES,SARI_INPATIENTS,SARI_POP_COV,SARI_IN_RATE,SARI_POP_RATE,SARI_SAMPLED,SARI_INF_POS,SARI_INF_NEG,SARI_COVID19_TESTED,SARI_COVID19_POS,SARI_COVID19_NEG,SARI_COVID19_RATIO,ARI_CASES,ARI_OUTPATIENTS,ARI_POP_COV,ARI_OUT_RATE,ARI_POP_RATE,PNEU_CASES,PNEU_INPATIENTS,PNEU_POP_COV,PNEU_IN_RATE,PNEU_POP_RATE,GEOSPREAD,INTENSITY,TREND,IMPACT
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,45,2021-11-08,2021-11-14,All,748,53401,,14.01,,,,,,,,,,,,,,,,,,,,,,3852,,,,,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,44,2021-11-01,2021-11-07,All,708,54022,,13.11,,,,,,,,,,,,,,,,,,,,,,3873,,,,,,,,,,,,
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,43,2021-10-25,2021-10-31,All,,,,,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,43,2021-10-25,2021-10-31,All,831,67414,,12.33,,,,,,,,,,,,,,,,,,,,,,4253,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,43,2021-10-25,2021-10-31,All,11497,,7258753,,158.39,,,,,,,,206,719,,28.65,,2,,,,,,,,,,,,,,,,,1,,3,
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,42,2021-10-18,2021-10-24,All,4634,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,794,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,42,2021-10-18,2021-10-24,All,718,60794,,11.81,,,,,,,,,,,,,,,,,,,,,,4113,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,42,2021-10-18,2021-10-24,All,12751,,7258753,,175.66,,,,,,,,44,192,,22.92,,,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,42,2021-10-18,2021-10-24,All,31456,1782052,,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,41,2021-10-11,2021-10-17,All,5749,,,,,,,,,,,,687,,,,,,,,,,,,,,,,,1173,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,41,2021-10-11,2021-10-17,All,562,52878,,10.63,,,,,,,,,,,,,,,,,,,,,,3244,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,41,2021-10-11,2021-10-17,All,8845,,7258753,,121.85,,,,,,,,194,731,,26.54,,0,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,41,2021-10-11,2021-10-17,All,33700,1872595,,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,40,2021-10-04,2021-10-10,All,7572,,,,,,,,,,,,649,,,,,,,,,,,,,,,,,1421,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,40,2021-10-04,2021-10-10,All,539,55447,,9.72,,,,,,,,,,,,,,,,,,,,,,3211,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,40,2021-10-04,2021-10-10,All,7952,,7258753,,109.55,,,,,,,,135,561,,24.06,,,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,40,2021-10-04,2021-10-10,All,35548,1913549,,18.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,39,2021-09-27,2021-10-03,All,8917,,,,,,,,,,,,713,,,,,,,,,,,,,,,,,1624,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,39,2021-09-27,2021-10-03,All,451,50480,,8.93,,,,,,,,,,,,,,,,,,,,,,3050,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,39,2021-09-27,2021-10-03,All,29693,1616223,,18.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,38,2021-09-20,2021-09-26,All,8772,,,,,,,,,,,,748,,,,,,,,,,,,,,,,,2022,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,38,2021-09-20,2021-09-26,All,393,52081,,7.55,,,,,,,,,,,,,,,,,,,,,,3004,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,38,2021-09-20,2021-09-26,All,33710,1746221,,19.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,37,2021-09-13,2021-09-19,All,9284,,,,,,,,,,,,882,,,,,,,,,,,,,,,,,2032,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,37,2021-09-13,2021-09-19,All,328,50169,,6.54,,,,,,,,,,,,,,,,,,,,,,2730,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,37,2021-09-13,2021-09-19,All,35872,1798182,,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,36,2021-09-06,2021-09-12,All,8835,,,,,,,,,,,,915,,,,,,,,,,,,,,,,,2206,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,36,2021-09-06,2021-09-12,All,327,46640,,7.01,,,,,,,,,,,,,,,,,,,,,,2916,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,36,2021-09-06,2021-09-12,All,39210,1779234,,22.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,35,2021-08-30,2021-09-05,All,9761,,,,,,,,,,,,959,,,,,,,,,,,,,,,,,2278,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,35,2021-08-30,2021-09-05,All,40537,1807767,,22.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,34,2021-08-23,2021-08-29,All,11142,,,,,,,,,,,,998,,,,,,,,,,,,,,,,,2541,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,34,2021-08-23,2021-08-29,All,42788,1859216,,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,33,2021-08-16,2021-08-22,All,10513,,,,,,,,,,,,1134,,,,,,,,,,,,,,,,,2632,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,33,2021-08-16,2021-08-22,All,42602,1849590,,23.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,32,2021-08-09,2021-08-15,All,10056,,,,,,,,,,,,995,,,,,,,,,,,,,,,,,2653,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,32,2021-08-09,2021-08-15,All,40062,1854554,,21.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,31,2021-08-02,2021-08-08,All,10062,,,,,,,,,,,,1188,,,,,,,,,,,,,,,,,2682,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,31,2021-08-02,2021-08-08,All,37747,1836024,,20.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,30,2021-07-26,2021-08-01,All,9371,,,,,,,,,,,,1087,,,,,,,,,,,,,,,,,2887,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,30,2021-07-26,2021-08-01,All,35209,1840152,,19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,29,2021-07-19,2021-07-25,All,8603,,,,,,,,,,,,1220,,,,,,,,,,,,,,,,,2851,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,29,2021-07-19,2021-07-25,All,30542,1783517,,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,28,2021-07-12,2021-07-18,All,9902,,,,,,,,,,,,1212,,,,,,,,,,,,,,,,,3045,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,28,2021-07-12,2021-07-18,All,25260,1747430,,14.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,27,2021-07-05,2021-07-11,All,9690,,,,,,,,,,,,1492,,,,,,,,,,,,,,,,,3202,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,27,2021-07-05,2021-07-11,All,22357,1682620,,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,26,2021-06-28,2021-07-04,All,34,18529,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,26,2021-06-28,2021-07-04,All,8720,,,,,,,,,,,,1440,,,,,,,,,,,,,,,,,3667,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,26,2021-06-28,2021-07-04,All,29,4297,,6.75,,,,,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,26,2021-06-28,2021-07-04,All,20102,1657295,,12.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,25,2021-06-21,2021-06-27,All,8532,,,,,,,,,,,,1447,,,,,,,,,,,,,,,,,3549,,,,,,,,
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,25,2021-06-21,2021-06-27,All,61,18663,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,25,2021-06-21,2021-06-27,All,21,5734,,3.66,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,25,2021-06-21,2021-06-27,All,19896,1643811,,12.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,24,2021-06-14,2021-06-20,All,42,17736,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,24,2021-06-14,2021-06-20,All,8449,,,,,,,,,,,,1367,,,,,,,,,,,,,,,,,3856,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,24,2021-06-14,2021-06-20,All,55,6844,,8.04,,,,,,,,,,,,,,,,,,,,,,614,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,24,2021-06-14,2021-06-20,All,19672,1659691,,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,23,2021-06-07,2021-06-13,All,41,19932,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,23,2021-06-07,2021-06-13,All,9259,,,,,,,,,,,,1705,,,,,,,,,,,,,,,,,4275,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,23,2021-06-07,2021-06-13,All,57,7262,,7.85,,,,,,,,,,,,,,,,,,,,,,510,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,23,2021-06-07,2021-06-13,All,19184,1674458,,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,22,2021-05-31,2021-06-06,All,9454,,,,,,,,,,,,1954,,,,,,,,,,,,,,,,,4812,,,,,,,,
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,22,2021-05-31,2021-06-06,All,41,21277,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,22,2021-05-31,2021-06-06,All,96,8429,,11.39,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,22,2021-05-31,2021-06-06,All,20141,1609413,,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,21,2021-05-24,2021-05-30,All,49,21282,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,21,2021-05-24,2021-05-30,All,9273,,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,4890,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,21,2021-05-24,2021-05-30,All,104,16874,,6.16,,,,,,,,,,,,,,,,,,,,,,1273,,,,,,,,,,,,
Northern hemishere,Americas,AMR,North America,United States of America,2021,21,2021-05-24,2021-05-30,All,19671,1651804,,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,20,2021-05-17,2021-05-23,All,42,21043,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,20,2021-05-17,2021-05-23,All,11245,,,,,,,,,,,,2209,,,,,,,,,,,,,,,,,4280,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,20,2021-05-17,2021-05-23,All,85,14304,,5.94,,,,,,,,,,,,,,,,,,,,,,1211,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,20,2021-05-17,2021-05-23,All,3280,,7258753,,45.19,,,,,,,,10,714,,1.40,,0,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,20,2021-05-17,2021-05-23,All,21258,1681397,,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,19,2021-05-10,2021-05-16,All,11567,,,,,,,,,,,,1982,,,,,,,,,,,,,,,,,3845,,,,,,,,
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,19,2021-05-10,2021-05-16,All,44,20613,,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,19,2021-05-10,2021-05-16,All,123,15021,,8.19,,,,,,,,,,,,,,,,,,,,,,1441,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,19,2021-05-10,2021-05-16,All,3995,,7258753,,55.04,,,,,,,,12,708,,1.69,,0,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,19,2021-05-10,2021-05-16,All,20372,1623298,,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,18,2021-05-03,2021-05-09,All,16,20693,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,18,2021-05-03,2021-05-09,All,9936,,,,,,,,,,,,1712,,,,,,,,,,,,,,,,,3774,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,18,2021-05-03,2021-05-09,All,144,16666,,8.64,,,,,,,,,,,,,,,,,,,,,,1599,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,18,2021-05-03,2021-05-09,All,2640,,7258753,,36.37,,,,,,,,8,282,,2.84,,0,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,18,2021-05-03,2021-05-09,All,19936,1649382,,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,17,2021-04-26,2021-05-02,All,34,18852,,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,17,2021-04-26,2021-05-02,All,9469,,,,,,,,,,,,1639,,,,,,,,,,,,,,,,,3465,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,17,2021-04-26,2021-05-02,All,171,16595,,10.30,,,,,,,,,,,,,,,,,,,,,,1534,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,17,2021-04-26,2021-05-02,All,1668,,7258753,,22.98,,,,,,,,7,653,,1.07,,0,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,17,2021-04-26,2021-05-02,All,20132,1702135,,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,16,2021-04-19,2021-04-25,All,20,21699,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,16,2021-04-19,2021-04-25,All,8711,,,,,,,,,,,,1787,,,,,,,,,,,,,,,,,3435,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,16,2021-04-19,2021-04-25,All,183,18103,,10.11,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,16,2021-04-19,2021-04-25,All,5178,,7258753,,71.33,,,,,,,,14,766,,1.83,,0,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Americas,AMR,North America,United States of America,2021,16,2021-04-19,2021-04-25,All,19313,1678809,,11.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,15,2021-04-12,2021-04-18,All,27,21086,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,15,2021-04-12,2021-04-18,All,9495,,,,,,,,,,,,1837,,,,,,,,,,,,,,,,,3018,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,15,2021-04-12,2021-04-18,All,217,22941,,9.46,,,,,,,,,,,,,,,,,,,,,,1887,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,15,2021-04-12,2021-04-18,All,6187,,7258753,,85.24,,,,,,,,14,782,,1.79,,0,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,15,2021-04-12,2021-04-18,All,19175,1728715,,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,14,2021-04-05,2021-04-11,All,22,17177,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,14,2021-04-05,2021-04-11,All,9793,,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,2913,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,14,2021-04-05,2021-04-11,All,203,25003,,8.12,,,,,,,,,,,,,,,,,,,,,,2135,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,14,2021-04-05,2021-04-11,All,7144,,7258753,,98.42,,,,,,,,20,759,,2.64,,9,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,14,2021-04-05,2021-04-11,All,18148,1682997,,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,13,2021-03-29,2021-04-04,All,28,17672,,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,13,2021-03-29,2021-04-04,All,8608,,,,,,,,,,,,1763,,,,,,,,,,,,,,,,,2271,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,13,2021-03-29,2021-04-04,All,192,24538,,7.82,,,,,,,,,,,,,,,,,,,,,,2106,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,13,2021-03-29,2021-04-04,All,8207,,7258753,,113.06,,,,,,,,23,889,,2.59,,0,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,13,2021-03-29,2021-04-04,All,15994,1602436,,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,12,2021-03-22,2021-03-28,All,12,20114,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,12,2021-03-22,2021-03-28,All,8349,,,,,,,,,,,,1378,,,,,,,,,,,,,,,,,2094,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,12,2021-03-22,2021-03-28,All,317,28451,,11.14,,,,,,,,,,,,,,,,,,,,,,2339,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,12,2021-03-22,2021-03-28,All,5562,,7258753,,76.62,,,,,,,,17,763,,2.23,,0,,,,,,,,,,,,,,,,,1,,1,
Northern hemishere,Americas,AMR,North America,United States of America,2021,12,2021-03-22,2021-03-28,All,15359,1599223,,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,11,2021-03-15,2021-03-21,All,13,19746,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,11,2021-03-15,2021-03-21,All,8025,,,,,,,,,,,,1284,,,,,,,,,,,,,,,,,1925,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,11,2021-03-15,2021-03-21,All,340,28860,,11.78,,,,,,,,,,,,,,,,,,,,,,2425,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,11,2021-03-15,2021-03-21,All,8560,,7258753,,117.93,,,,,,,,24,759,,3.16,,0,,,,,,,,,,,,,,,,,1,,3,1
Northern hemishere,Americas,AMR,North America,United States of America,2021,11,2021-03-15,2021-03-21,All,14578,1551491,,9.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,10,2021-03-08,2021-03-14,All,21,19003,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,10,2021-03-08,2021-03-14,All,7462,,,,,,,,,,,,1168,,,,,,,,,,,,,,,,,1894,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,10,2021-03-08,2021-03-14,All,337,34852,,9.67,,,,,,,,,,,,,,,,,,,,,,2752,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,10,2021-03-08,2021-03-14,All,7828,,7258753,,107.84,,,,,,,,18,871,,2.07,,0,,,,,,,,,,,,,,,,,1,,2,
Northern hemishere,Americas,AMR,North America,United States of America,2021,10,2021-03-08,2021-03-14,All,14098,1560307,,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,9,2021-03-01,2021-03-07,All,18,20060,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,9,2021-03-01,2021-03-07,All,7300,,,,,,,,,,,,1104,,,,,,,,,,,,,,,,,1874,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,9,2021-03-01,2021-03-07,All,392,29746,,13.18,,,,,,,,,,,,,,,,,,,,,,2681,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,9,2021-03-01,2021-03-07,All,7781,,7258753,,107.19,,,,,,,,13,806,,1.61,,0,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,9,2021-03-01,2021-03-07,All,13017,1544432,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,8,2021-02-22,2021-02-28,All,7358,,,,,,,,,,,,1060,,,,,,,,,,,,,,,,,1666,,,,,,,,
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,8,2021-02-22,2021-02-28,All,20,20254,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,8,2021-02-22,2021-02-28,All,621,44582,,13.93,,,,,,,,,,,,,,,,,,,,,,3855,,,,,,,,,,,,
Northern hemishere,Europe,EUR,South West Europe,Serbia,2021,8,2021-02-22,2021-02-28,All,7473,,7258753,,102.95,,,,,,,,13,806,,1.61,,0,,,,,,,,,,,,,,,,,1,,3,
Northern hemishere,Americas,AMR,North America,United States of America,2021,8,2021-02-22,2021-02-28,All,13347,1550845,,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0
Southern hemisphere,Oceania,WPR,Oceania Melanesia Polynesia,Australia,2021,7,2021-02-15,2021-02-21,All,14,19687,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Southern hemisphere,Americas,AMR,Temperate South America,Argentina,2021,7,2021-02-15,2021-02-21,All,6576,,,,,,,,,,,,1091,,,,,,,,,,,,,,,,,1553,,,,,,,,
Northern hemishere,Africa,EMR,Northern Africa,Morocco,2021,7,2021-02-15,2021-02-21,All,710,44741,,15.87,,,,,,,,,,,,,,,,,,,,,,3741,,,,,,,,,,,,
